,FASE 1,,,,,,FASE 2,,,,,
,Stella Maris,Mirta,Hugo,Mabel,Roberto,Raquel,Stella Maris,Mirta,Hugo,Mabel,Roberto,Raquel
1,3,3,4,5,1,0,0,2,4,3,3,0
2,5,4,2,5,5,0,0,4,3,1,1,1
3,1,2,1,5,3,0,0,4,5,5,3,0
4,1,2,4,5,1,0,0,5,3,3,2,0
5,1,4,1,5,3,0,0,4,1,5,4,1
6,5,4,3,5,5,0,0,5,3,5,2,2
7,1,2,2,5,4,0,0,2,1,5,4,1
8,1,2,3,3,1,0,0,5,2,5,1,1
9,1,3,5,3,4,0,0,2,4,5,3,2
10,1,4,1,5,5,0,0,4,1,5,3,1
11,5,4,2,5,5,0,0,5,1,5,0,3
12,1,2,4,3,2,0,0,4,5,3,1,1
13,1,2,1,1,5,0,0,3,1,3,5,1
14,1,3,5,5,1,0,0,5,4,3,4,4
15,1,2,5,5,5,0,0,4,3,3,2,1
16,1,4,4,5,5,0,0,5,2,5,4,5
17,1,2,2,5,2,0,0,4,3,2,2,1
18,0,4,3,5,2,0,0,1,3,5,3,0
19,0,4,5,3,4,0,0,4,4,3,2,1
20,0,3,2,5,5,0,0,5,1,5,4,0
21,0,5,1,5,2,0,0,5,1,5,2,2
22,0,4,3,3,3,0,0,2,4,5,4,0
23,0,2,4,5,5,0,0,4,5,3,2,2
24,0,4,1,3,2,0,0,5,3,5,5,0
25,0,5,3,5,5,0,0,4,2,5,1,2
26,0,5,5,3,4,0,0,5,5,3,2,5
