Fase,Metrica,Metrica_Key,N_Participantes,Media,Desv_Estandar,Minimo,Maximo
Fase1,Metrica Entradas Collider Gorrion,collider_entries,5,1.6,0.89,1,3
Fase1,Metrica Apertura Flor,flower_openings,5,0,0.0,0,0
Fase1,Metrica Decremento Sonido,sound_decrements,5,4,2.65,1,8
Fase1,Metrica Duracion Flor Abierta,time_flower_open,5,0.0,0.0,0.0,0.0
Fase1,Metrica Tiempo en Collider Gorrion,time_in_collider,5,6.98,7.07,2.9,19.5
Fase1,Metrica Duracion Inmovilidad,time_stationary,5,32.1,54.98,1.7,130.2
Fase2,Metrica Entradas Collider Gorrion,collider_entries,5,1.2,1.1,0,3
Fase2,Metrica Apertura Flor,flower_openings,5,1.8,2.39,0,6
Fase2,Metrica Decremento Sonido,sound_decrements,5,8.2,4.97,1,12
Fase2,Metrica Duracion Flor Abierta,time_flower_open,5,11.64,15.31,0.0,38.3
Fase2,Metrica Tiempo en Collider Gorrion,time_in_collider,5,25.36,24.18,0.0,60.6
Fase2,Metrica Duracion Inmovilidad,time_stationary,5,58.6,52.16,0.0,140.9
